STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,SIZE_CLASS,Employment size class,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,UNIT_MULT,Unit multiplier,TIME_HORIZON_USE,Time horizon,DECIMALS,Decimals,BREAKDOWN_V7,V7 Breakdowns
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,GBR,United Kingdom,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2017,,83.6292,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,GBR,United Kingdom,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2015,,80.7583,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,TUR,Türkiye,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2023,,55.8621,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2014,,75.77,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2015,,76.73,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2016,,75.62,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2017,,77.37,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2018,,79.38,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2019,,80.37,,A,Normal value,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),ICT Access and Usage by Businesses,I,AUS,Australia,A,Annual,B1_B,Businesses with a website or home page,PT_ENT,Percentage of enterprises,_T,Total - all activities,S_GE10,10 or more,2022,,80.9,,B,Time series break,,,,,0,Units,,,2,Two,BUS_TOTAL,BUS_TOTAL
